C,kernel,gamma,class_weight,seed
30.437402507531278,rbf,0.08189353616673727,balanced,0
11.90905943951878,rbf,0.021091101418147205,balanced,1
4.695053086356626,rbf,0.055562629217278565,,2
49.424457534549376,rbf,0.027844491016665286,balanced,3
3.597214269100407,rbf,0.04622072130227093,,4
3.0457724836919517,rbf,0.049130472356898006,,5
85.90624531548806,rbf,0.09812678277227736,,6
49.78784662534789,rbf,0.09673788114126594,,7
66.37487692354193,rbf,0.03287986162301975,,8
74.61082329772721,rbf,0.014712645595517255,,9
1.9837339820707356,rbf,0.05404809888473091,,10
49.93106393697395,rbf,0.05457900968113756,,11
44.78360917721681,rbf,0.047599843084671356,,12
0.3807804901427053,rbf,0.05044213458787863,,13
0.4755701830316614,rbf,0.037384484543486605,balanced,14
99.956542122913,rbf,0.08684036753313207,balanced,15
4.438244387163037,rbf,0.0542126598295962,,16
38.72211442550467,rbf,0.08871682443440831,,17
44.75496919676052,rbf,0.09872320039639908,balanced,18
18.09599451518361,rbf,0.08169925760116967,balanced,19
9.428137738287141,rbf,0.04403264986285109,balanced,20
10.223993639971146,rbf,0.06348536598991729,,21
2.201139388408246,rbf,0.03565570435630247,,22
82.17649273688447,rbf,0.0966098454271588,,23
59.925674844282526,rbf,0.08787333294770368,,24
16.15226753774374,rbf,0.009731773754315148,balanced,25
8.354289461486957,rbf,0.048408487506308474,,26
84.48986371185846,rbf,0.08138163293263188,balanced,27
42.34780735288825,rbf,0.09982719644529266,,28
76.32570730320045,rbf,0.055005301951337064,,29
